тип_массива,размер,алгоритм,threshold,время_мкс
almost,2000,hybrid,5,39
almost,2000,hybrid,10,35
almost,2000,hybrid,20,33
almost,2000,hybrid,30,32
almost,2000,hybrid,50,30
random,2100,merge,0,67
random,2100,hybrid,5,56
random,2100,hybrid,10,53
random,2100,hybrid,20,51
random,2100,hybrid,30,46
random,2100,hybrid,50,48
reversed,2100,merge,0,40
reversed,2100,hybrid,5,32
reversed,2100,hybrid,10,29
reversed,2100,hybrid,20,30
reversed,2100,hybrid,30,30
reversed,2100,hybrid,50,31
almost,2100,merge,0,47
almost,2100,hybrid,5,37
almost,2100,hybrid,10,34
almost,2100,hybrid,20,32
almost,2100,hybrid,30,31
almost,2100,hybrid,50,29
random,2200,merge,0,67
random,2200,hybrid,5,56
random,2200,hybrid,10,52
random,2200,hybrid,20,51
random,2200,hybrid,30,47
random,2200,hybrid,50,50
reversed,2200,merge,0,42
reversed,2200,hybrid,5,33
reversed,2200,hybrid,10,32
reversed,2200,hybrid,20,33
reversed,2200,hybrid,30,32
reversed,2200,hybrid,50,34
almost,2200,merge,0,51
almost,2200,hybrid,5,40
almost,2200,hybrid,10,35
almost,2200,hybrid,20,33
almost,2200,hybrid,30,32
almost,2200,hybrid,50,30
random,2300,merge,0,67
random,2300,hybrid,5,55
random,2300,hybrid,10,53
random,2300,hybrid,20,51
random,2300,hybrid,30,47
random,2300,hybrid,50,51
reversed,2300,merge,0,43
reversed,2300,hybrid,5,33
reversed,2300,hybrid,10,31
reversed,2300,hybrid,20,31
reversed,2300,hybrid,30,30
reversed,2300,hybrid,50,32
almost,2300,merge,0,50
almost,2300,hybrid,5,38
almost,2300,hybrid,10,37
almost,2300,hybrid,20,35
almost,2300,hybrid,30,34
almost,2300,hybrid,50,30
random,2400,merge,0,70
random,2400,hybrid,5,58
random,2400,hybrid,10,55
random,2400,hybrid,20,51
random,2400,hybrid,30,46
random,2400,hybrid,50,50
reversed,2400,merge,0,44
reversed,2400,hybrid,5,34
reversed,2400,hybrid,10,32
reversed,2400,hybrid,20,31
reversed,2400,hybrid,30,33
reversed,2400,hybrid,50,36
almost,2400,merge,0,52
almost,2400,hybrid,5,40
almost,2400,hybrid,10,37
almost,2400,hybrid,20,35
almost,2400,hybrid,30,33
almost,2400,hybrid,50,32
random,2500,merge,0,73
random,2500,hybrid,5,58
random,2500,hybrid,10,55
random,2500,hybrid,20,53
random,2500,hybrid,30,49
random,2500,hybrid,50,53
reversed,2500,merge,0,47
reversed,2500,hybrid,5,35
reversed,2500,hybrid,10,34
reversed,2500,hybrid,20,35
reversed,2500,hybrid,30,34
reversed,2500,hybrid,50,34
almost,2500,merge,0,51
almost,2500,hybrid,5,39
almost,2500,hybrid,10,36
almost,2500,hybrid,20,33
almost,2500,hybrid,30,32
almost,2500,hybrid,50,30
random,2600,merge,0,71
random,2600,hybrid,5,58
random,2600,hybrid,10,55
random,2600,hybrid,20,54
random,2600,hybrid,30,50
random,2600,hybrid,50,54
reversed,2600,merge,0,47
reversed,2600,hybrid,5,36
reversed,2600,hybrid,10,35
reversed,2600,hybrid,20,36
reversed,2600,hybrid,30,36
reversed,2600,hybrid,50,35
almost,2600,merge,0,54
almost,2600,hybrid,5,43
almost,2600,hybrid,10,40
almost,2600,hybrid,20,37
almost,2600,hybrid,30,36
almost,2600,hybrid,50,34
random,2700,merge,0,72
random,2700,hybrid,5,60
random,2700,hybrid,10,57
random,2700,hybrid,20,55
random,2700,hybrid,30,54
random,2700,hybrid,50,55
reversed,2700,merge,0,48
reversed,2700,hybrid,5,38
reversed,2700,hybrid,10,37
reversed,2700,hybrid,20,34
reversed,2700,hybrid,30,36
reversed,2700,hybrid,50,36
almost,2700,merge,0,55
almost,2700,hybrid,5,44
almost,2700,hybrid,10,41
almost,2700,hybrid,20,39
almost,2700,hybrid,30,36
almost,2700,hybrid,50,32
random,2800,merge,0,73
random,2800,hybrid,5,61
random,2800,hybrid,10,58
random,2800,hybrid,20,56
random,2800,hybrid,30,55
random,2800,hybrid,50,55
reversed,2800,merge,0,49
reversed,2800,hybrid,5,39
reversed,2800,hybrid,10,36
reversed,2800,hybrid,20,34
reversed,2800,hybrid,30,35
reversed,2800,hybrid,50,38
almost,2800,merge,0,57
almost,2800,hybrid,5,46
almost,2800,hybrid,10,43
almost,2800,hybrid,20,40
almost,2800,hybrid,30,38
almost,2800,hybrid,50,34
random,2900,merge,0,76
random,2900,hybrid,5,63
random,2900,hybrid,10,59
random,2900,hybrid,20,58
random,2900,hybrid,30,56
random,2900,hybrid,50,57
reversed,2900,merge,0,49
reversed,2900,hybrid,5,40
reversed,2900,hybrid,10,37
reversed,2900,hybrid,20,36
reversed,2900,hybrid,30,38
reversed,2900,hybrid,50,43
almost,2900,merge,0,57
almost,2900,hybrid,5,47
almost,2900,hybrid,10,43
almost,2900,hybrid,20,40
almost,2900,hybrid,30,38
almost,2900,hybrid,50,34
random,3000,merge,0,77
random,3000,hybrid,5,66
random,3000,hybrid,10,61
random,3000,hybrid,20,59
random,3000,hybrid,30,57
random,3000,hybrid,50,60
reversed,3000,merge,0,52
reversed,3000,hybrid,5,42
reversed,3000,hybrid,10,37
reversed,3000,hybrid,20,38
reversed,3000,hybrid,30,38
reversed,3000,hybrid,50,42
almost,3000,merge,0,61
almost,3000,hybrid,5,50
almost,3000,hybrid,10,45
almost,3000,hybrid,20,43
almost,3000,hybrid,30,39
almost,3000,hybrid,50,36
random,3100,merge,0,79
random,3100,hybrid,5,68
random,3100,hybrid,10,62
random,3100,hybrid,20,60
random,3100,hybrid,30,59
random,3100,hybrid,50,60
reversed,3100,merge,0,53
reversed,3100,hybrid,5,43
reversed,3100,hybrid,10,39
reversed,3100,hybrid,20,39
reversed,3100,hybrid,30,39
reversed,3100,hybrid,50,43
almost,3100,merge,0,64
almost,3100,hybrid,5,54
almost,3100,hybrid,10,49
almost,3100,hybrid,20,45
almost,3100,hybrid,30,40
almost,3100,hybrid,50,36
random,3200,merge,0,85
random,3200,hybrid,5,74
random,3200,hybrid,10,67
random,3200,hybrid,20,64
random,3200,hybrid,30,63
random,3200,hybrid,50,65
reversed,3200,merge,0,57
reversed,3200,hybrid,5,47
reversed,3200,hybrid,10,43
reversed,3200,hybrid,20,42
reversed,3200,hybrid,30,42
reversed,3200,hybrid,50,48
almost,3200,merge,0,67
almost,3200,hybrid,5,56
almost,3200,hybrid,10,51
almost,3200,hybrid,20,47
almost,3200,hybrid,30,43
almost,3200,hybrid,50,39
random,3300,merge,0,87
random,3300,hybrid,5,75
random,3300,hybrid,10,69
random,3300,hybrid,20,67
random,3300,hybrid,30,67
random,3300,hybrid,50,60
reversed,3300,merge,0,61
reversed,3300,hybrid,5,49
reversed,3300,hybrid,10,44
reversed,3300,hybrid,20,43
reversed,3300,hybrid,30,42
reversed,3300,hybrid,50,40
almost,3300,merge,0,71
almost,3300,hybrid,5,59
almost,3300,hybrid,10,54
almost,3300,hybrid,20,50
almost,3300,hybrid,30,46
almost,3300,hybrid,50,45
random,3400,merge,0,89
random,3400,hybrid,5,76
random,3400,hybrid,10,72
random,3400,hybrid,20,69
random,3400,hybrid,30,68
random,3400,hybrid,50,62
reversed,3400,merge,0,61
reversed,3400,hybrid,5,50
reversed,3400,hybrid,10,44
reversed,3400,hybrid,20,44
reversed,3400,hybrid,30,45
reversed,3400,hybrid,50,45
almost,3400,merge,0,71
almost,3400,hybrid,5,59
almost,3400,hybrid,10,53
almost,3400,hybrid,20,49
almost,3400,hybrid,30,45
almost,3400,hybrid,50,43
random,3500,merge,0,93
random,3500,hybrid,5,80
random,3500,hybrid,10,75
random,3500,hybrid,20,72
random,3500,hybrid,30,72
random,3500,hybrid,50,64
reversed,3500,merge,0,64
reversed,3500,hybrid,5,51
reversed,3500,hybrid,10,46
reversed,3500,hybrid,20,46
reversed,3500,hybrid,30,44
reversed,3500,hybrid,50,42
almost,3500,merge,0,75
almost,3500,hybrid,5,61
almost,3500,hybrid,10,56
almost,3500,hybrid,20,51
almost,3500,hybrid,30,48
almost,3500,hybrid,50,46
random,3600,merge,0,96
random,3600,hybrid,5,81
random,3600,hybrid,10,77
random,3600,hybrid,20,73
random,3600,hybrid,30,76
random,3600,hybrid,50,65
reversed,3600,merge,0,65
reversed,3600,hybrid,5,51
reversed,3600,hybrid,10,47
reversed,3600,hybrid,20,47
reversed,3600,hybrid,30,49
reversed,3600,hybrid,50,46
almost,3600,merge,0,75
almost,3600,hybrid,5,62
almost,3600,hybrid,10,56
almost,3600,hybrid,20,52
almost,3600,hybrid,30,48
almost,3600,hybrid,50,47
random,3700,merge,0,98
random,3700,hybrid,5,82
random,3700,hybrid,10,78
random,3700,hybrid,20,75
random,3700,hybrid,30,74
random,3700,hybrid,50,68
reversed,3700,merge,0,64
reversed,3700,hybrid,5,52
reversed,3700,hybrid,10,48
reversed,3700,hybrid,20,50
reversed,3700,hybrid,30,50
reversed,3700,hybrid,50,47
almost,3700,merge,0,78
almost,3700,hybrid,5,64
almost,3700,hybrid,10,59
almost,3700,hybrid,20,55
almost,3700,hybrid,30,50
almost,3700,hybrid,50,50
random,3800,merge,0,100
random,3800,hybrid,5,85
random,3800,hybrid,10,82
random,3800,hybrid,20,78
random,3800,hybrid,30,77
random,3800,hybrid,50,69
reversed,3800,merge,0,67
reversed,3800,hybrid,5,55
reversed,3800,hybrid,10,49
reversed,3800,hybrid,20,49
reversed,3800,hybrid,30,52
reversed,3800,hybrid,50,54
almost,3800,merge,0,76
almost,3800,hybrid,5,62
almost,3800,hybrid,10,57
almost,3800,hybrid,20,53
almost,3800,hybrid,30,48
almost,3800,hybrid,50,47
random,3900,merge,0,102
random,3900,hybrid,5,87
random,3900,hybrid,10,84
random,3900,hybrid,20,80
random,3900,hybrid,30,77
random,3900,hybrid,50,76
reversed,3900,merge,0,68
reversed,3900,hybrid,5,54
reversed,3900,hybrid,10,50
reversed,3900,hybrid,20,51
reversed,3900,hybrid,30,51
reversed,3900,hybrid,50,53
almost,3900,merge,0,83
almost,3900,hybrid,5,68
almost,3900,hybrid,10,60
almost,3900,hybrid,20,56
almost,3900,hybrid,30,54
almost,3900,hybrid,50,52
random,4000,merge,0,111
random,4000,hybrid,5,90
random,4000,hybrid,10,86
random,4000,hybrid,20,82
random,4000,hybrid,30,75
random,4000,hybrid,50,82
reversed,4000,merge,0,71
reversed,4000,hybrid,5,56
reversed,4000,hybrid,10,51
reversed,4000,hybrid,20,53
reversed,4000,hybrid,30,51
reversed,4000,hybrid,50,56
almost,4000,merge,0,80
almost,4000,hybrid,5,64
almost,4000,hybrid,10,59
almost,4000,hybrid,20,55
almost,4000,hybrid,30,53
almost,4000,hybrid,50,52
random,4100,merge,0,107
random,4100,hybrid,5,91
random,4100,hybrid,10,87
random,4100,hybrid,20,85
random,4100,hybrid,30,78
random,4100,hybrid,50,84
reversed,4100,merge,0,69
reversed,4100,hybrid,5,56
reversed,4100,hybrid,10,52
reversed,4100,hybrid,20,56
reversed,4100,hybrid,30,50
reversed,4100,hybrid,50,54
almost,4100,merge,0,83
almost,4100,hybrid,5,67
almost,4100,hybrid,10,63
almost,4100,hybrid,20,60
almost,4100,hybrid,30,61
almost,4100,hybrid,50,55
random,4200,merge,0,109
random,4200,hybrid,5,93
random,4200,hybrid,10,90
random,4200,hybrid,20,87
random,4200,hybrid,30,80
random,4200,hybrid,50,88
reversed,4200,merge,0,71
reversed,4200,hybrid,5,57
reversed,4200,hybrid,10,55
reversed,4200,hybrid,20,56
reversed,4200,hybrid,30,53
reversed,4200,hybrid,50,56
almost,4200,merge,0,84
almost,4200,hybrid,5,67
almost,4200,hybrid,10,64
almost,4200,hybrid,20,59
almost,4200,hybrid,30,59
almost,4200,hybrid,50,54
random,4300,merge,0,116
random,4300,hybrid,5,96
random,4300,hybrid,10,92
random,4300,hybrid,20,91
random,4300,hybrid,30,83
random,4300,hybrid,50,90
reversed,4300,merge,0,74
reversed,4300,hybrid,5,59
reversed,4300,hybrid,10,56
reversed,4300,hybrid,20,57
reversed,4300,hybrid,30,56
reversed,4300,hybrid,50,62
almost,4300,merge,0,88
almost,4300,hybrid,5,71
almost,4300,hybrid,10,66
almost,4300,hybrid,20,63
almost,4300,hybrid,30,61
almost,4300,hybrid,50,59
random,4400,merge,0,116
random,4400,hybrid,5,97
random,4400,hybrid,10,93
random,4400,hybrid,20,91
random,4400,hybrid,30,84
random,4400,hybrid,50,94
reversed,4400,merge,0,77
reversed,4400,hybrid,5,61
reversed,4400,hybrid,10,58
reversed,4400,hybrid,20,57
reversed,4400,hybrid,30,55
reversed,4400,hybrid,50,63
almost,4400,merge,0,89
almost,4400,hybrid,5,71
almost,4400,hybrid,10,66
almost,4400,hybrid,20,62
almost,4400,hybrid,30,61
almost,4400,hybrid,50,58
random,4500,merge,0,122
random,4500,hybrid,5,101
random,4500,hybrid,10,97
random,4500,hybrid,20,95
random,4500,hybrid,30,87
random,4500,hybrid,50,94
reversed,4500,merge,0,81
reversed,4500,hybrid,5,64
reversed,4500,hybrid,10,59
reversed,4500,hybrid,20,60
reversed,4500,hybrid,30,59
reversed,4500,hybrid,50,64
almost,4500,merge,0,94
almost,4500,hybrid,5,78
almost,4500,hybrid,10,70
almost,4500,hybrid,20,66
almost,4500,hybrid,30,65
almost,4500,hybrid,50,62
random,4600,merge,0,123
random,4600,hybrid,5,102
random,4600,hybrid,10,99
random,4600,hybrid,20,96
random,4600,hybrid,30,88
random,4600,hybrid,50,96
reversed,4600,merge,0,80
reversed,4600,hybrid,5,64
reversed,4600,hybrid,10,60
reversed,4600,hybrid,20,62
reversed,4600,hybrid,30,60
reversed,4600,hybrid,50,67
almost,4600,merge,0,94
almost,4600,hybrid,5,74
almost,4600,hybrid,10,70
almost,4600,hybrid,20,66
almost,4600,hybrid,30,65
almost,4600,hybrid,50,61
random,4700,merge,0,129
random,4700,hybrid,5,105
random,4700,hybrid,10,102
random,4700,hybrid,20,99
random,4700,hybrid,30,91
random,4700,hybrid,50,98
